nameOfCamp,amountReached,goalOfCamp,category,dateCreated,peopleDonated,numberOfDays,locationCity,locationState,socialMediaShares,NumberOfFbComments,NumberOfUpdates
Ro: One Last Time Tour,"$2,739","$9,700",Wishes," April 1, 2016",74,5,YPSILANTI,MI,197000,1,1
Every little bit,$265,"$3,500",Wishes," July 29, 2016",8,1,LAKELAND,FL,194000,2,1
food and necessities  ,$896,$350,Emergencies," January 23, 2014",24,32,ROLAND,IA,195000,,32
food and necessities  ,$896,$350,Emergencies," January 23, 2014",24,32,ROLAND,IA,195000,,32
Help Lulu in her fight for mobility,$650,"$7,000",Emergencies," April 14, 2016",11,5,INDIANAPOLIS,IN,191000,,1
Jack's SAG Entrance Fee,$565,"$3,150",Wishes," September 11, 2016",19,13,RIVERSIDE,CA,105000,,1
Joshua's Acting Dream,$520,"$1,850",Wishes," September 15, 2016",12,9,PHILADELPHIA,PA,192000,,
Lori's New Beginning 2016,$800,"$2,016",Wishes," April 13, 2016",13,5,CHATHAM,NJ,193000,1,5
Help us with groceries,$400,$400,Emergencies," September 20, 2016",5,5,BRONX,NY,14000,,1
Help?,"$4,630","$7,000",Emergencies," July 11, 2016",61,2,CLINTON,MS,186000,1,6
Fighting For My Girls,$305,"$10,000",Wishes," September 24, 2016",4,1,INDIANAPOLIS,IN,24000,,
SC Flood Relief-Water/Supply Truck,"$2,440","$1,100",Carolina Flood," October 6, 2015",30,11,EVANS,GA,178000,,4
Wendy's Wonder Woman Fund,"$8,120",$12.50,Medical," July 3, 2016",88,2,RICHMOND,VA,175000,,2
A little Girl Who Lost Her MOM,$425,"$3,000",Emergencies," September 16, 2016",6,8,LYNNWOOD,WA,96000,,
Artist loses everything in fire,$320,"$5,000",Emergencies," September 21, 2016",6,3,ARCATA,CA,19000,,2
The Leinart Rebuild,"$11,278","$10,000",Emergencies," June 29, 2016",98,2,PLYMOUTH,MI,174000,,1
Defending Peace,$880,"$25,000",Emergencies," June 9, 2016",17,3,CLEVELAND,OH,174000,,2
Louisiana Flood Relief,$775,"$10,000",Emergencies," August 16, 2016",11,1,NEW HOLLAND,PA,169000,,2
Lee Wilson - House Fire,$320,"$20,000",Emergencies," September 24, 2016",4,1,CANONSBURG,PA,15000,,1
Bssd 2nd Yr,$450,"$7,450",Wishes," April 19, 2015",5,17,FORTUNA,CA,163000,,27
Help our family find a home,$765,"$3,000",Emergencies," January 17, 2016",12,8,ALPHARETTA,GA,152000,,1
A Tree Chasing Her Roots ,"$1,250","$2,500",Wishes," August 4, 2016",18,1,FORT LAUDERDALE,FL,71000,,1
U.S. Citizenship,$295,$680,Wishes," September 20, 2016",8,4,EDMOND,OK,35000,,2
Daniel's Top Surgery,"$1,040","$8,000",Wishes," January 24, 2016",50,8,WARRENSBURG,MO,113000,5,6
Brenda's House Fire Recovery Fund,$820,"$8,650",Emergencies," June 16, 2016",7,3,CHULA VISTA,CA,150000,,1
"house fire, lost everything","$1,080","$1,500",Emergencies," February 10, 2016",22,7,FORT MADISON,IA,148000,,
HELP US INSPIRE THE YOUTH!,"$9,250","$33,000",Faith," July 14, 2015",237,14,Mississauga,ON,577000,5,2
Remembering the U.S.S. Liberty,"$2,503","$25,000",Faith," March 8, 2016",53,6,MARIETTA,GA,1500,3,61
Help us save our historic church!,"$4,685","$550,000",Faith," January 23, 2015",89,20,MALONE,NY,562000,3,7
Help Us Pay Our Rent,"$9,767","$12,000",Faith," October 7, 2015",46,11,Williamstown,VIC,57000,,4
Sisters' Elevator Repair,"$4,590","$7,000",Faith," May 9, 2016",64,4,CULVER CITY,CA,1100,1,6
HELP US BUILD GOD'S NEW HOUSE,"$1,100",$8.5M ,Faith," June 11, 2014",27,27,CLEMENTON,NJ,247000,1,57
God is Calling us to Swaziland!,"$8,525","$8,500",Faith," April 20, 2016",52,5,LEXINGTON,KY,651000,,11
Gods Mission  for us!,"$4,345","$10,000",Faith," January 4, 2016",57,8,DELRAY BEACH,FL,433000,1,8
Help us Build Libraries in Kenya!,"$15,485","$10,000",Faith," March 3, 2016",81,6,FRANKLIN,TN,618000,,10
JUST $1! Help Us Serve Mongolia,"$2,110","$3,000",Faith," January 30, 2016",32,7,WINTER GARDEN,FL,250000,,2
Church Mission MUST be relocated!,"$8,825","$50,000",Faith," September 19, 2016",42,6,ALEXANDRIA,VA,154000,,1
Keep Unlimited Thought Open!,"$1,650","$10,000",Faith," May 23, 2016",23,4,SAN ANTONIO,TX,875000,,6
Defend Catholic Parish Education!,"$2,810","$50,000",Faith," April 9, 2016",52,5,NEWRY,PA,907000,3,
WRITE FORESHADOWS BOOK NOW!,"$13,068","$16,000",Faith," August 31, 2016",75,25,LOUISVILLE,CO,213000,,10
The Ordination of Gail Stratton,"$3,005","$4,300",Faith," August 22, 2016",34,1,OXFORD,MS,71000,,
$1/mile for Rob's voyage to Phils.,"$1,140","$2,000",Faith," April 25, 2016",22,5,HAYWARD,CA,735000,,5
Children's Mission Christmas Party,$695,"$2,500",Faith," September 22, 2016",16,3,EL CAJON,CA,56000,,
2016 KHCC Pastors' Celebration ,"$5,300","$15,000",Faith," April 11, 2016",29,5,ROSWELL,GA,438000,,5
Help Launch Love Beyond Walls ,"$3,965","$3,000",Faith," December 19, 2013",82,33,ATLANTA,GA,739000,,63
50k@50  Wheat State & Lord's Diner,"$1,700","$5,000",Faith," September 9, 2016",31,16,PITTSBURG,KS,83000,,9
Trip to Sacred Stone Camp ND,"$1,355","$3,000",Faith," September 22, 2016",13,3,PLANT CITY,FL,33000,,
Save A Small Family Business,"$11,410","$20,000",Faith," July 8, 2016",99,2,CITRUS HEIGHTS,CA,618000,6,16
Bobby Bowen Fam - Buck A Month Club,"$4,402","$10,000",Faith," August 30, 2015",501,13,GREENBRIER,TN,547000,2,30
City2Village~Outreach of the Heart,"$1,605","$7,500",Faith," August 21, 2016",34,1,CARSON,CA,100000,,8
Andrew in Missions,"$18,158",$25.20,Faith," October 23, 2014",261,23,RANDALLSTOWN,MD,471000,,76
Help ELC #AllChristiansLivesMatter,"$23,840","$25,000",Faith," November 30, 2013",406,34,SILVER SPRING,MD,561000,1,19
SOS: Send Chantel to Greece ,"$3,719","$5,500",Faith," September 14, 2016",60,11,TURNER,OR,235000,,10
Tastebud Ministries Church,"$23,346","$500,000",Faith," February 16, 2015",243,19,FORT WORTH,TX,309000,11,119
1000 smiles sealant project-Jamaica,"$1,010","$1,500",Faith," September 19, 2016",17,6,ERIE,PA,97000,,1
Naylien Ministry Trip to Israel,$340,"$3,500",Faith," September 23, 2016",10,2,BELLEVILLE,NJ,55000,,
Ministry Projects & Missions works,$347,"$20,000",Faith," March 22, 2016",16,6,DALLAS,TX,454000,2,1
Help Adwoa Get to Ghana,"$5,067","$6,480",Faith," April 27, 2016",55,5,BROOKLYN,NY,216000,,8
Ashley's IJM Internship - S. Asia,"$12,048","$15,000",Faith," May 4, 2016",96,4,GREENCASTLE,PA,428000,,11
Baton Rouge Or Bust,"$1,525","$2,000",Faith," August 29, 2016",31,26,CAPE CORAL,FL,256000,4,10
Katie's YWAM DTS and Outreach,"$1,075","$4,000",Faith," September 22, 2016",7,3,ALABASTER,AL,129000,,
James' Buenos Aires IMC Video Trip,"$1,245","$2,500",Faith," September 13, 2016",17,12,OWOSSO,MI,84000,,5
Possess To Serve,"$7,900","$860,000",Faith," February 9, 2016",40,7,SAINT AUGUSTINE,FL,380000,2,
Global Year - South Africa,"$6,286",$12.70,Faith," May 26, 2016",55,4,DALLAS,GA,287000,,44
EASIEST way to give dawah,"$1,195","$50,000",Faith," October 31, 2014",73,23,COLUMBUS,OH,1500,5,1
The Dare to Love Project 2015/2016,"$39,894","$100,000",Faith," October 9, 2014",108,23,OLYMPIA,WA,159000,,16
Now That You Are Saved - Follow Up,"$5,495","$236,000",Faith," January 26, 2016",85,8,ORLANDO,FL,597000,,1
Kingdom Minded Ministries,"$12,702","$15,000",Faith," August 26, 2015",123,13,HOUSTON,TX,198000,,32
Summer Ministry Trip to California,$697,"$2,650",Faith," June 6, 2016",11,3,KELLER,TX,276000,,10
Alex and Milena in a German DTS,"$6,535","$5,150",Faith," September 7, 2015",46,12,COLUMBUS,OH,482000,,13
Minister to the Mosiers,"$5,005","$5,000",Faith," August 6, 2016",54,1,NEW HAVEN,IN,318000,,2
Keep Raising Real Men on the Road,"$21,810",$23.10,Faith," March 18, 2015",371,18,SMITHFIELD,NC,2000,9,4
"Prayer path, church &Aquaponic; farm","$1,400","$300,000",Faith," August 27, 2016",6,29,CLARKSVILLE,TN,66000,,
Muller Family Mission Trip to Haiti,$540,"$6,000",Faith," February 11, 2016",5,7,GRUNDY CENTER,IA,174000,,1
CHINA MISSIONS,"$7,153","$25,000",Faith," February 25, 2014",108,31,MUNCIE,IN,222000,2,1
A mother's cry for help,$205,"$5,000",Faith," September 19, 2016",5,5,STAFFORD,VA,261000,2,2
Building expansion,"$4,910","$20,000",Faith," September 12, 2016",11,12,STANWOOD,WA,160000,,8
The Children in Belize Missions...,"$1,055","$5,000",Faith," August 30, 2016",6,26,DELTONA,FL,202000,,4
My Israel Pilgrimage,"$1,865","$2,500",Faith," July 25, 2016",16,2,CLARENCE,NY,194000,,5
Haiti Mission Trip,"$1,625","$1,500",Faith," July 1, 2015",37,15,NASHVILLE,TN,228000,,7
My First Mission Trip,$475,"$1,800",Faith," January 5, 2016",6,8,DACULA,GA,222000,,3
Free The Schwab Children,$408,"$3,000",Faith," September 16, 2016",9,9,LOVELAND,CO,189000,1,1
Van for Pregnant Orphan  Home in RO,"$9,210","$10,000",Faith," July 6, 2016",39,2,LAKE WORTH,FL,190000,,7
Adventure Ministry,$990,"$6,500",Faith," December 9, 2015",29,9,BUTLER,WI,312000,,4
Ingemann Danish Church Restoration,"$7,232","$10,000",Faith," March 20, 2016",46,6,MOORHEAD,IA,639000,7,4
Catholic Philadelphia Outreach,"$4,615","$100,000",Faith," September 5, 2014",92,25,WILLOW GROVE,PA,355000,1,23
Cuba Mission Trip,"$2,150","$3,200",Faith," August 12, 2016",22,1,KENTS STORE,VA,123000,,1
Send Mae to Norway,"$1,895","$3,600",Faith," July 1, 2015",9,15,CAMANO ISLAND,WA,68000,,2
Unlock The Power of Building a Mikvah ,"$47,144","$72,000",Faith," January 9, 2014",130,33,BUFFALO GROVE,IL,204000,1,21
Church Sign,"$2,040","$10,000",Faith," May 14, 2014",44,28,PALESTINE,TX,93000,2,22
Engage Church: 2015 mission trip,"$6,346","$7,000",Faith," February 18, 2015",23,19,HILO,HI,7700,,5
GWINNETT PLACE MALL OR JEHOVAH DOME,"$1,650",$36.0M ,Faith," March 8, 2016",8,6,300046,US,3100,,1
Brother Love feeds,"$2,895","$5,000",Faith," April 12, 2015",40,17,VIRGINIA BEACH,VA,217000,1,7
Mindfulness in Schools,"$8,426","$15,000",Faith," June 18, 2014",79,27,DALLAS,TX,591000,,56
YWAM  Lausanne DTS,$465,"$8,500",Faith," September 11, 2016",7,14,VENTURA,CA,190000,,
Send the Yoon Family to the Nations ,"$8,860","$34,000",Faith," October 22, 2013",166,35,OAKLAND GARDENS,NY,503000,,20
St. Paul Steeple Restoration,"$12,675","$100,000",Faith," July 13, 2016",30,2,HOOPER,NE,256000,,4
Our Sweet Ukranian Addition,"$4,000","$4,000",Faith," February 28, 2016",33,7,LANDIS,NC,828000,1,34
Vehicle for the Calls,"$3,700","$17,000",Faith," August 29, 2016",20,27,WESTMINSTER,CA,175000,,1
Cydel's Mission Fund,$315,"$2,600",Faith," July 21, 2016",9,2,PROVO,UT,189000,,3
The TentMaker Project travel budget,"$3,125","$6,200",Faith," June 9, 2016",36,3,MURPHYSBORO,IL,266000,,12
Teresa Benson's Story,"$4,280","$15,000",Faith," November 17, 2015",66,10,UNDERWOOD,IA,539000,,
Deborah Salazar: Leaving A Legacy,"$7,836","$7,750",Faith," July 13, 2016",67,2,LOS ANGELES,CA,220000,,
Banquet for the Homeless,"$3,635","$4,500",Faith," June 27, 2016",36,3,BROOKLYN,NY,214000,,9
"We Are Asylum Seekers, Please Help.","$2,735","$4,000",Faith," February 6, 2015",52,19,LEOMINSTER,MA,481000,,84
Send Rhianna to Uganda!,"$1,320","$2,500",Faith," August 22, 2016",18,1,CENTRAL POINT,OR,110000,,1
Reach Hawaii,$715,"$2,000",Faith," March 1, 2016",13,6,ARVADA,CO,346000,,
Cutting for a Cause,"$2,025","$1,900",Faith," August 2, 2016",27,1,MARIETTA,PA,238000,,15
Mariel's Mission Trip to Sweden/Uk!,$900,$900,Faith," September 18, 2016",16,7,COLUMBUS,GA,38000,,2
KKMS Building Fund,"$7,630","$80,000",Faith," April 15, 2015",70,17,MEMPHIS,TN,95000,,1
Lohan Spiritual Center,$535,"$1,000",Faith," October 15, 2013",24,35,LAS VEGAS,NV,42000,,12
Church  Break in and AC Fundraiser,$385,"$5,000",Faith," September 15, 2016",8,9,PORT CHARLOTTE,FL,130000,,
"Leah's ""Chicken Project"" for Uganda","$1,190",$800,Faith," May 11, 2016",26,4,MIDDLESEX,NC,166000,,3
Youth Ministry: Giving to Others,"$1,265","$1,500",Faith," August 19, 2016",21,1,OCONOMOWOC,WI,123000,,3
Maria's mission/class trip to Peru ,$795,"$3,200",Faith," February 21, 2016",14,7,KILLEEN,TX,165000,,
Monastery of Mt Carmel,"$14,424",$1.0M ,Faith," June 8, 2015",87,15,MORRISTOWN,NJ,118000,,2
Inner City Missionary,$500,"$1,000",Faith," September 19, 2016",8,6,LOS ANGELES,CA,97000,,1
Ireland Mission's Trip,$445,$900,Faith," September 23, 2016",3,2,WYOMING,,24000,,
Rachel House Inc. (aka ROHF),"$3,000","$3,000",Faith," May 2, 2016",16,4,SAINT LOUIS,MO,132000,,2
AIM2go  Associates in Missions,$280,$280,Faith," June 20, 2016",7,3,MONTGOMERY,LA,128000,,1
Atlanta School of Ministry Tuition,$450,"$2,000",Faith," September 6, 2016",3,19,CONCORD,NC,94000,1,1
Four Rivers Fellowship bldg fund,$755,"$10,000",Faith," March 6, 2016",8,6,FLOODWOOD,MN,125000,,9
Hope Anew's Borehole  &  Well,"$7,595","$40,000",Faith," August 8, 2015",24,13,WILMINGTON,DE,80000,1,
Support Mariam & Amir,"$1,651","$5,000",Faith," May 29, 2015",27,16,KNOXVILLE,TN,111000,,
Send Rhianna to Uganda!,"$1,320","$2,500",Faith," August 22, 2016",18,1,CENTRAL POINT,OR,110000,,1
My mission trip to China,"$1,070","$1,500",Faith," September 3, 2016",13,22,GLEN ELLYN,IL,30000,,
Help Me Study in the Holy Land,$975,"$5,000",Faith," September 12, 2016",12,13,MAZON,IL,66000,,
BOOK PUBLISHING,$625,"$3,500",Faith," March 29, 2016",12,6,MIDDLEBURG,FL,98000,,3
Water Well and Solar Panels,$320,"$15,000",Faith," September 15, 2016",5,10,MOLINE,MI,61000,,
Macedonia Cemetery Restoration,"$11,770","$30,000",Faith," February 7, 2016",99,7,SUFFOLK,VA,96000,,4
Karen Koon Church Transportation,"$3,937","$2,800",Faith," February 17, 2016",37,7,ELKHORN,NE,98000,,
USA ET ALS SUPPORT KUMBA DIOCESE,"$1,870","$5,000",Faith," April 18, 2016",19,5,HYATTSVILLE,MD,95000,,14
Camping 4 Africa - Katherine,"$1,395","$3,000",Faith," July 29, 2016",15,1,WINDSOR,CA,93000,,3
Human Trafficking Missionary ,$250,$500,Faith," September 19, 2016",7,5,FRANKLIN,TN,25000,,
Romania GO Team,$500,"$2,100",Faith," January 29, 2016",7,8,SCOTT DEPOT,WV,80000,,1
"Hyderabad, India or Bust",$680,"$2,200",Faith," June 2, 2016",9,3,FAIRHOPE,AL,45000,,
Missions Trip to China,"$1,209","$2,000",Faith," July 31, 2016",8,1,CRESTVIEW,FL,78000,,2
Mission trip to Ireland,$520,"$2,000",Faith," January 31, 2016",12,7,DICKSON,TN,80000,,
Rebuilding 2016,$125,"$1,000",Faith," September 10, 2016",3,15,EVANS,GA,106000,,3
On a Mission to Costa Rica!,$475,"$2,800",Faith," September 14, 2016",6,11,PASADENA,TX,86000,,4
"Alisa's ""Here I am Lord"" Ministry ",$750,"$5,000",Faith," June 8, 2016",5,3,PUNTA GORDA,FL,41000,,
Samantha Niece Mission to Australia,$330,"$5,200",Faith," September 14, 2016",6,11,AUBURN,CA,42000,,2
Van Funds ,$145,"$2,500",Faith," August 1, 2016",9,1,BRADENTON,FL,73000,,
San Diego & Tijuana Mission Trip,$540,$525,Faith," March 21, 2016",10,6,ROANOKE,TX,73000,,
Ceydi's YWAM DTS,$225,"$3,000",Faith," September 8, 2016",4,17,BEND,OR,40000,,
Anna's Pilgrimage,$390,"$4,000",Faith," September 16, 2016",7,9,BIG SANDY,TX,37000,1,
Please Help CMA Mbanga and Children,$85,"$4,100",Faith," August 26, 2016",3,1,OMAHA,NE,101000,,1
Lori's Chile Mission Trip,$285,"$1,500",Faith," August 26, 2016",4,29,PAPILLION,NE,80000,,1
Learning On The Job TV Show,$100,"$50,000",Faith," March 11, 2016",4,6,,,67000,,1
Audio Bibles for the Zambezi Delta,$470,"$5,000",Faith," September 21, 2016",7,4,77,,35000,,
Africa Missions Trip 2016,"$1,515","$2,500",Faith," February 25, 2016",14,7,DOWNEY,CA,59000,,2
Groundbreaking Atonement Model Book,$215,$27.50,Faith," June 13, 2016",4,3,IMPERIAL,MO,29000,,3
Dominican Republic Mission Trip,"$1,195","$1,500",Faith," August 26, 2016",11,1,FOLSOM,CA,57000,,5
Your Help For Church Restoration,$650,"$53,000",Faith," August 31, 2016",5,24,KEARNY,NJ,48000,,1
Please Help Me Answer God's Call,$95,"$1,500",Faith," February 3, 2016",3,7,TAYLORSVILLE,NC,52000,,4
Callahan Babies TWIN Adoption,"$4,401","$10,000",Family," September 21, 2016",42,3,ALTAMONTE SPRINGS,FL,663000,2,3
SaveOurFamily/AfterLosingHome!JESUS,"$1,150","$1,650",Family," March 2, 2016",39,6,BOONE,NC,6300,15,68
Help Nicole Keep Her Son,"$1,195","$3,500",Family," September 23, 2016",27,2,CRESTWOOD,KY,91000,,1
Making Space for 2 Foster Siblings,"$11,100","$30,000",Family," July 23, 2016",121,2,TITUSVILLE,NJ,704000,1,8
Brad & Tara Surprise adoption!,"$8,285","$32,000",Family," September 17, 2016",123,8,CLOVIS,CA,961000,,6
Help Dan and Casey with IVF,"$10,265","$30,000",Family," April 11, 2016",160,5,MINNEAPOLIS,MN,1200,6,9
Help us adopt Noah ,"$1,760","$10,000",Family," September 20, 2016",38,4,BUDA,TX,279000,1,
Help Matthew & Sabrina adopt a son!,"$3,805","$25,000",Family," September 23, 2016",21,1,OCEANSIDE,CA,273000,,3
Nicaragua Mission trip,"$1,065","$2,500",Family," September 23, 2016",23,2,GLEN ROCK,NJ,59000,,
Help for Alyssa & Carter,"$8,385","$10,000",Family," September 14, 2016",119,11,ALBERT,OK,1200,1,2
#TeamDevon,"$3,745","$5,000",Family," March 3, 2016",68,6,JACKSONVILLE,FL,1200,3,17
Colin Needs New Wheels,"$8,660","$30,000",Family," April 20, 2016",100,5,BRAINTREE,MA,802000,2,4
A Baby for Joan & Andreana,"$7,288","$11,000",Family," July 30, 2015",117,14,OAKLAND,CA,1100,,9
Help The Lathers Family Grow!,$770,"$15,000",Family," September 23, 2016",15,2,SAN DIEGO,CA,174000,,
2year old lost mother to addiction,$410,"$3,000",Family," September 24, 2016",14,1,PRATTVILLE,AL,211000,,1
Half for the Hogar,"$4,525","$3,500",Family," August 18, 2016",72,1,READING,MA,406000,,
Scott Friedman Memorial Fund,"$34,706","$50,000",Family," August 23, 2016",318,1,HOWARD BEACH,NY,808000,,
Lawyer funds to save my kids,$990,"$10,000",Family," January 13, 2016",15,8,DAYTONA BEACH,FL,1000,4,1
In memory of Shana Lucas,"$6,275","$10,000",Family," July 22, 2016",71,2,SALEM,OR,1000,4,9
Help Reese see a brighter future,"$2,970","$15,000",Family," June 17, 2016",30,3,LAFAYETTE,LA,396000,,2
Baby Alex Trisomy 18 Fund,"$2,060","$5,000",Family," September 7, 2016",44,17,Pembroke Pines,FL,690000,1,2
Kristi  Burke's recovery fund!,$840,"$5,000",Family," September 18, 2016",14,6,ALEDO,TX,157000,,
Mom & 3 Kids Facing Homeless Status,"$3,405","$3,500",Family," September 18, 2016",46,7,BOUND BROOK,NJ,246000,,
Help me turn into a NON-Profit Org!,$385,"$1,000",Family," September 7, 2016",21,18,FAIRFIELD,CA,693000,,
The children deserve better,"$1,590","$10,000",Family," September 19, 2016",21,6,HONOLULU,HI,516000,,8
Tia Lupita's House Projects,"$1,450","$1,000",Family," September 24, 2016",15,1,HEBBRONVILLE,TX,16000,3,3
Praying to be parents ,"$1,160","$10,000",Family," September 20, 2016",20,5,BROOKLET,GA,283000,,1
Braylon's Struggle,"$7,035","$10,000",Family," February 21, 2016",125,7,SHAWNEE,KS,744000,,2
Chris & Kryssi's Adoption Fund,"$1,045","$12,000",Family," February 10, 2015",18,19,NEWPORT NEWS,VA,412000,,11
Help us bring Daray home,$240,"$4,500",Family," June 15, 2016",5,3,Apache Junction,AZ,98000,1,3
Please Help Us Get Home!,$465,$600,Family," June 26, 2016",8,3,FREDONIA,AZ,48000,,3
Help Us Adopt,$850,"$4,000",Family," July 3, 2015",10,15,SAINT ALBANS,NY,131000,,2
Help us put a baby in my belly ,"$1,451","$9,000",Family," December 9, 2013",12,34,MCKINNEY,TX,270000,,24
Help us get the Family Van we need,$135,"$11,000",Family," September 7, 2016",5,18,LITTLE ROCK,AR,21000,,2
Help us make a family! ,"$3,000","$3,500",Family," November 3, 2014",11,23,ORANGE,CA,192000,1,17
Help us Pay the Cost of Birth,"$5,372","$9,000",Family," February 25, 2014",25,31,GALENA,IL,101000,,6
Help Us Move ,$700,"$2,000",Family," July 13, 2016",10,2,MORENO VALLEY,CA,34000,2,1
Help us adopt,"$1,135","$30,000",Family," October 26, 2014",8,23,KEMMERER,WY,255000,2,5
Help my Dad fight for Custody. ,$240,"$5,000",Family," September 23, 2016",10,2,CHICAGO,IL,87000,,1
Helping my loving parents,"$2,327","$20,000",Family," September 3, 2016",42,21,HUNTINGTON BEACH,CA,209000,,1
Please Help Me See My Baby!!,$325,$450,Family," September 24, 2016",9,1,FLINT,MI,136000,1,2
Toby's Adoption,"$3,575","$8,600",Family," June 12, 2016",36,3,FOUNTAIN VALLEY,CA,601000,1,5
Jane Bates,"$2,550","$5,000",Family," July 15, 2016",40,2,CHICAGO,IL,527000,4,
Please help us keep our apartment! ,$870,"$2,000",Family," July 12, 2016",14,2,MOUNT JULIET,TN,108000,,3
"Help Me, Help My Children.","$2,350","$15,000",Family," September 22, 2016",13,3,ORLANDO,FL,17000,,
#SoUnexpected!!,$245,"$2,500",Family," September 12, 2016",7,13,FREELAND,MD,513000,7,
,$400,"$5,000",Family," September 22, 2016",8,3,KING GEORGE,VA,124000,,2
Help us Adopt our Angel,$525,"$30,000",Family," April 13, 2015",2,17,LOGANSPORT,IN,163000,1,5
Help Us Start Our Family ,$651,"$4,000",Family," May 23, 2013",21,40,BAKERSFIELD,CA,34000,,3
Help Keep us afloat,"$1,500","$1,500",Family," March 6, 2016",2,6,SUMITON,AL,36000,,4
My sons USAF graduation,$295,"$1,000",Family," May 17, 2014",5,28,BAKERSFIELD,CA,98000,,6
Help us support 4 more teens,$150,"$3,000",Family," August 14, 2016",3,1,HELENA,AL,12000,,
Help Us Adopt,$290,"$30,000",Family," June 28, 2014",5,27,HAMPSTEAD,MD,75000,,3
Help us welcome our baby home,$670,"$2,000",Family," July 20, 2015",6,14,PORTLAND,OR,42000,1,2
Help us bring Manuela home!!!!! ,$320,"$15,000",Family," November 12, 2012",7,47,CONYERS,GA,81000,3,4
help us bring our special needs son home,"$6,216",$14.50,Family," September 6, 2012",20,49,OMAHA,NE,36000,1,
Help Us Start Our Family,"$1,500","$8,500",Family," September 12, 2011",12,61,LOS ANGELES,CA,7000,4,11
Help Us have a Family,$600,"$24,000",Family," July 27, 2016",2,1,LAS VEGAS,NV,2000,,1
Help us create our family ,$655,"$5,000",Family," May 12, 2015",16,16,WESTMINSTER,CO,,2,
Help Us Get A Home For The Holidays,"$1,000","$1,300",Family," November 6, 2014",1,22,CHICAGO,IL,19000,,1
HELP US ADOPT & BECOME THREE!,"$2,715","$5,000",Family," March 4, 2015",11,19,MIDLAND,TX,,,
Help us keep our home! ,$25,"$4,000",Family," May 15, 2014",1,28,CLAYTON,DE,22000,,2
help keep us from homelessness,$20,"$2,500",Family," July 15, 2015",1,14,FORT MYERS,FL,9000,,3
Help us replace our old car,"$400 goal",,Family," August 28, 2016",28,,NORTH CA,OH,,,
Help Us Remodel,"$5,000 goal",,Family," August 27, 2016",29,,HOLLY SPRINGS,MS,,,
Help us get back home ,"$500 goal",,Family," August 25, 2016",1,,JACKSONVILLE,FL,10000,1,
Help Us To Go Back Home,"$500 goal",,Family," August 24, 2016",1,,COLORADO SPRINGS,CO,4000,,
Help us get back on our feet,"$1,000 goal",,Family," August 23, 2016",1,,WICHITA FALLS,TX,22000,,
Help Us To Move,,,Family," August 23, 2016",1,,Tormohun Ward,ENG,,,
Help Us Buy a Home,"$20k goal",,Family," August 21, 2016",1,,EAGLE RIVER,AK,22000,,
Help us see our Family,"$5,000 goal",,Family," August 21, 2016",1,,TYNGSBORO,MA,,,
My Used car Fundraiser ,"$1,000 goal",,Family," August 19, 2016",1,,ROANOKE,VA,,,
Help us stay in our apartment,"$2,000 goal",,Family," August 19, 2016",1,,SAN PEDRO,CA,,,
Carr Family Adoption Fund ,"$1,630",$17.50,Family," February 26, 2015",17,19,MEMPHIS,TN,13000,,
The Adventure of Adoption,"$1,000","$10,000",Family," March 31, 2015",6,18,MISSION VIEJO,CA,33000,,1
Sutch's Play Yard,$856,"$1,000",Family," March 31, 2012",13,54,OAKLAND,CA,8000,,
A father who needs help,"$3,500 goal",,Family," July 31, 2016",1,,CLIFTON HEIGHTS,PA,27000,,1
Scott Friedman Memorial Fund,"$34,706","$50,000",Family," August 23, 2016",318,1,HOWARD BEACH,NY,808000,,
Help Dan and Casey with IVF,"$10,265","$30,000",Family," April 11, 2016",160,5,MINNEAPOLIS,MN,1200,6,9
Support for baby William ,"$49,873","$100,000",Family," July 26, 2016",625,2,SAN DIEGO,CA,4500,9,1
Brad & Tara Surprise adoption!,"$8,285","$32,000",Family," September 17, 2016",123,8,CLOVIS,CA,961000,,6
Making Space for 2 Foster Siblings,"$11,100","$30,000",Family," July 23, 2016",121,2,TITUSVILLE,NJ,704000,1,8
IVF for a baby Avery,$715,"$15,000",Family," July 13, 2016",15,2,HUNTSVILLE,AL,309000,,1
A Family In Need,"$12,275","$100,000",Family," August 3, 2016",126,1,SKOKIE,IL,284000,,
Help Little Mitchell and Parents   ,$425,"$1,000",Family," September 5, 2016",9,20,BEAVER DAM,WI,145000,,6
The Roberts' Family Adoption,$685,"$28,000",Family," June 29, 2016",13,2,TAVARES,FL,228000,,3
Zachary Tyler's Adoption fund,$315,"$5,000",Family," August 13, 2016",11,1,BLYTHEWOOD,SC,268000,,1
Operation Homecoming,$330,"$15,000",Family," October 6, 2015",8,11,HILO,HI,269000,,4
Return Baby Evelyn,"$1,700","$5,000",Family," September 18, 2016",9,7,LYNDEN,WA,214000,2,1
Yolandra's Adoption Journey,"$1,990","$25,000",Family," August 14, 2016",26,1,FREDERICK,MD,208000,,6
A Home that can't be taken away,$485,"$10,000",Family," August 29, 2016",10,27,OAK HARBOR,WA,246000,,10
Bouncing Baby Brogan,"$10,685","$30,000",Family," September 5, 2016",23,20,KIRKLAND,WA,210000,2,3
IVF Fund For Baby K,$660,"$30,000",Family," September 9, 2016",15,16,PORTAGE,IN,223000,1,
Young man with Down Syndrome needs:,$273,"$1,500",Family," May 30, 2016",17,3,COOKEVILLE,TN,239000,8,2
